id,nombre
1,administracion bases datos 
2,administracion sistemas operatos 
3,algebrea lineal 
4,aplicaciones mobiles 
5,arquitectura software 
6,arquitecturas empresariales 
7,aseguramiento a calidad software 
8,auditoria informatica 
9,bases datos 
10,calculo varias variables 
11,calculo variable 
12,computacion nube 
13,computacion sociedad 
14,comunicacion y lenguaje 
15,control calidad software 
16,desarrollo aplicciones web 
17,desarrollo basado plataformas 
18,desarrollo trabajo titulacion 
19,emprendimiento e innovacion 
20,estadistica 
21,estructura datos 
22,fundamentos ingenieria software 
23,fundamentos programacion 
24,fundamentos tecnologias informacion 
25,gestion proyectos software 
26,herramientas diseno 
27,interaccion humano computador 
28,informatica forence 
29,ingenieria software 
30,introduccion a investigacion cientifica 
31,logica difusa 
32,matematicas discretas 
33,metodologias desarrollo software 
34,metodos numericos 
35,mineria datos 
36,programacion orientada a objetos 
37,realidad socioeconomica cultural y ecologica ecuador 
38,redes computadoras 
39,seguridad informatica 
40,seminario titulacion 
41,sistemas gestion seguridad informacion 
42,sistemas inteligentes 
43,sistemas juegos 
44,sistemas operatos 
45,tecnicas simulacion 
46,tecnicas avanzadas despliegue 
47,tecnicas avanzadas empresariales era ia 
